Date,User,Number of likes,Tweeted from,Tweets
2022-10-15 23:47:11+00:00,zalva1924,25,Twitter for Android,"Ekonomi Dunia Diprediksi Gelap pada 2023, Mampukah Kapitalisme Mengatasinya? | Serba-serbi MMC

IMF memproyeksi ekonomi global akan gelap pada tahun 2023. Hal ini diakibatkan oleh banyak hal, mulai dari resesi, COVID-19, imbas inv4si Rusi4 ke Ukr4ina, 

https://t.co/VhAQjqZdRT https://t.co/KMYio4yc1i"
2022-10-15 23:45:00+00:00,encielss,1,Twitter for Android,thx bgt loh ini gue jadi paham dikit sm si resesi ini. semoga aku dan kita semua tahun depan aman aja ya. &amp; semoga bintang &amp; mares balikan. https://t.co/4FxLK69a7i
2022-10-15 23:44:46+00:00,Hidayah_ayya4,0,Twitter Web App,"Ekonomi Dunia Diprediksi Gelap pada 2023 | Serba-serbi MMC

IMF memproyeksi ekonomi global akan gelap pada tahun 2023. Hal ini diakibatkan oleh banyak hal, mulai dari resesi dll. Mampukah Sistem ekonomi kapitalisme mengatasinya?
https://t.co/cIM9CoqJQK
Islam kaffah"
2022-10-15 23:39:46+00:00,julisuack,0,Twitter for Android,buat klen yg ajak-ajak hangout sorry ya gue tolak soalnya lagi persiapan menghadapi resesi thn depan
2022-10-15 23:39:18+00:00,LoudMinorities,3,Twitter Web App,"Bayangin kalo orang ini sampai jadi Presiden, trus Indonesia resesi, keluar statement ""Saya bersyukur Indonesia masih kena resesi, karena di negara pedalaman Afrika orang gak bisa makan lho..."" https://t.co/85qNKSYhrb"
2022-10-15 23:37:46+00:00,PPELBERRY,0,Twitter for Android,"Bener sih, tinggal menghadapi resesi seperti tahun tahun lainnya wkwkwk https://t.co/H9szcLWml9"
2022-10-15 23:37:01+00:00,Fatin_Nissa4,0,Twitter Web App,"Ekonomi Dunia Diprediksi Gelap pada 2023, Mampukah Kapitalisme Mengatasinya? | Serba-serbi MMC

IMF memproyeksi ekonomi global akan gelap pada tahun 2023. Hal ini diakibatkan oleh banyak hal, mulai dari resesi, 
https://t.co/mLmZplORvk
Islam kaffah"
2022-10-15 23:35:12+00:00,kompasiana,0,dlvr.it,7 Kiat Bagi UMKM Hadapi Resesi 2023 https://t.co/6ky11QwUlb
2022-10-15 23:34:02+00:00,tempodotco,3,dlvr.it,"Pakar Sebut Resesi Global Tak Berdampak Langsung ke RI, Ini Alasannya https://t.co/vbjMstJJ5U #TempoBisnis"
2022-10-15 23:30:24+00:00,UAsia18,0,Twitter for Android,"ngapain mesti takut sih sama prediksi resesi 2023

emang selama ini hidupmu gak sulit? emang sekarang penghasilanmu banyak? dari dulu juga antum udah resesi duluan jadi ngapain takut ye gak"
2022-10-15 23:30:03+00:00,KontanNews,0,Kontan Tweet,"Harga Minyak Mentah Anjlok di Pekan Ini, Kekhawatiran Resesi Kembali Merebak https://t.co/RIxW2CP07F #HargaMinyakBumi"
2022-10-15 23:28:33+00:00,21BeritaTerkini,0,dlvr.it,"Harga Minyak Mentah Anjlok di Pekan Ini, Kekhawatiran Resesi Kembali Merebak https://t.co/0Sb7x0DEE7"
2022-10-15 23:26:19+00:00,heyubjtch,2,Twitter for iPhone,mau resesi pada minus yaa?hahaha
2022-10-15 23:24:06+00:00,gajahkita,0,Twitter for Android,"@convomf Kecuali lo udah kerja, gak guna juga takut sama resesi"
2022-10-15 23:23:24+00:00,gajahkita,0,Twitter for Android,"@convomf Gak. Resesi udah terjadi berkali kali tapi gue masih idup, jadi ya.. ya udah"
2022-10-15 23:23:12+00:00,writtenbyachaaa,0,Twitter for Android,@convomf Plis RESESI bukan RESEPSI wkwkwk
2022-10-15 23:22:50+00:00,DaCapo76802151,0,Twitter for Android,@convomf Gua tkutnya sih resesi itu cuman gimmick doang. Kalo prediksi udah dr skarang pasti banyak yg mulai bikin prediksi &amp; spekulasi sih
2022-10-15 23:17:55+00:00,arikachmad_,0,Twitter for Android,"Indonesia bisa gk sih, gk trdampak resesi global ? Bisa, kurang apa kita coba ? Cadangan minyak bumi bnyk, lahan pertanian yg bisa jd lumbung pangan masih luas. Kita bisa mandiri tnpa trgantung pd negara lain. Iya lupa, Indonesia kurang orang berintegritas yg bisa ngelola negara"
2022-10-15 23:14:04+00:00,khalifahnur514,0,Twitter for Android,"Ekonomi dunia akan mengalami resesi, mampukah sistem kapitalisme mengatasinya?

Simak bareng-bareng yuk Serba-Serbi MMC
https://t.co/PylDMJJWPq

#IslamKaffah https://t.co/jluAUY0DCN"
2022-10-15 23:13:13+00:00,BungaM199,0,Twitter for Android,"Menurut prediksi ekonomi dunia akan mengalami resesi
Mampukah kapitalisme mengatasinya?

Serba-Serbi MMC
https://t.co/kXXv6OdLFa

#IslamKaffah https://t.co/YOvdy1PtMI"
2022-10-15 23:13:06+00:00,seventeen_oppa,0,Twitter for iPhone,anak indo begitu lahir udah resesi gitu yah ? https://t.co/tnrow8UpAC
2022-10-15 23:11:09+00:00,rtslots,0,Jetpack.com,"Ancaman Resesi Membayangi, Sektor Ini Bisa Jadi Pilihan Investasi Investor Pemula https://t.co/eNKVROQo28"
2022-10-15 23:07:59+00:00,UmmuAsih2,0,Twitter for Android,"IMF memproyeksi ekonomi global akan gelap pada tahun 2023. Hal ini diakibatkan oleh banyak hal, mulai dari resesi, COVID-19, imbas inv4si Rusi4 ke Ukr4ina, dan juga perubahan iklim. Mampukah Sistem Ekonomi Kapitalisme mengatasinya? Simak di channel MMC!

https://t.co/amWffMdfVh https://t.co/vJFxQZv5Kj"
2022-10-15 23:01:46+00:00,ardikidd,0,Twitter for iPhone,I didn’t know how powerful starlink was  till this. Bisa-bisa bubar tongkrongan fly over pasar klender favorit aing kalau pedagang resesi. No more indocafe cappuccino pake susu kental manis bendera. https://t.co/yzECOw2L6g
2022-10-15 23:01:42+00:00,mardigu024,30,IFTTT,Jangan sampai anda jadi salah satu yang terkena dampak negatif resesi 2023.. selengkapnya https://t.co/KHO7vwwC1V https://t.co/S38vdCNYQM
2022-10-15 23:00:20+00:00,Kabelkebakarr,0,Twitter Web App,Ketua DPR RI Puan Maharani mengatakan perlu adanya upaya multi lateral untuk mengantisipasi resesi ekonomi yang saat ini tengah mengancam dunia. https://t.co/v7LOvWvoha
2022-10-15 22:59:38+00:00,Masirmasku,1,Twitter for Android,"@jek___ Tidak sulit karena bersyukur terus, kalo beneran 2023 resesi mungkin akan menjadi sedikit lebih sulit dan anggap aja tantangan"
2022-10-15 22:53:43+00:00,perejekian,0,Twitter for Android,"Masalahnya kalau tahun depan sampai beneran resesi, yang paling sakit itu masyarakat menengah ke bawah"
2022-10-15 22:47:55+00:00,mchdr_,0,Twitter for Android,prediksi resesi dianggap sepele 🥲 https://t.co/sunlgv28GN
2022-10-15 22:45:26+00:00,gravitfy,0,Twitter for iPhone,Konten tentang resesi resesi malah bikin fomo
2022-10-15 22:38:22+00:00,Ai_Sherry,1,Twitter for Android,"Womg cilik arep mikir resesi wis ga enek wektune. Resesi ra resesi uripe yo susah, jalani ae, urip kan pamcen kadang susah kadang untung, sing pemting survive https://t.co/YA7P4hLWLW"
2022-10-15 22:35:03+00:00,budayliciouss,0,Twitter for iPhone,yang takut resesi kan orang yg hidupnya punya segalanya. https://t.co/qaOjvREaCz
2022-10-15 22:33:55+00:00,convomf,2,"Hey, ayo minum air putih dulu😤",💙 guys kalau beli mobil awal tahun depan apa engga papa ya? Soalnya kan byk yg blng tahun depan bakal resesi :(
2022-10-15 22:32:27+00:00,iamwearblack,0,Twitter for Android,@strike_bravo_b Ehh.. resesi kbarnya taon depan😳😳😳eamng iya?
2022-10-15 22:25:17+00:00,EviNatallia,0,Twitter for Android,"Soal resesi ekonomi di 2023. Bukan soal percaya atau enggak sama influencer2 yg ngeributin soal itu. Tp emg ngga ada salahnya yg diomongin mereka. Bukan nakut2in. Intinya kan suruh hemat, nabung, invest. Kan bagus semua itu, pokoknya biar ekonomi u stabil sukur2 bisa jd kaya."
2022-10-15 22:18:22+00:00,Ronin_roninan,0,Twitter Web App,@jek___ Iya bang bener. Tapi yg jd masalahnya resesi 2023 ini krn apa? Kalo gegara perang dunia ke 3 yg kaya pun bisa jd gembel smua bang🤣
2022-10-15 22:05:36+00:00,asep_rivaa,0,Twitter for Android,"@BigAlphaID Resesi bila tidak signifikan okay, terus bagaimana bila ada suatu kejadian bencana dan di sertai semananjung korea makin panas dan perang ukraina rusia makin lama ?
https://t.co/RISHf0FZXS"
2022-10-15 22:02:36+00:00,anaphylaxtic,0,Twitter for Android,Hah? 2008 resesi? Ortu gue malah masukin gue kuliah di fakultas yg jor joran. https://t.co/yRT3BQSGAd
2022-10-15 21:57:27+00:00,NextcloudAsia,0,Jetpack.com,Daly Fed mengatakan resesi yang dalam tidak diperlukan atau diperlukan https://t.co/OUcJi6mx5f
2022-10-15 21:57:11+00:00,zrkyyyy,1,Twitter for iPhone,"gak terasa sih, tapi dari konten2 yg ngebahas resesi seenggaknya kita dapet ilmu baru tentang kondisi ekonomi dan cara menyikapinya saat bener-bener resesi, minimal untuk diri sendiri. https://t.co/HPCGyEq8Ib"
2022-10-15 21:31:39+00:00,rampampamtwitz,0,Twitter for Android,@convomfs Temenmu kena resesi duluan nder
2022-10-15 21:29:12+00:00,akuawan_,0,Twitter for Android,"@worksfess Cba liat jga konten nya kak feli, dia kyk ngasih summary n saran gtu, akan 2023 yg katanya resesi"
2022-10-15 21:28:40+00:00,Aisyaah_ich,0,Twitter for iPhone,Apa keluargaku bisa bertahan hadapi resesi di 2023 nnti
2022-10-15 21:21:57+00:00,jaeluviee,0,Twitter for Android,Mau nunggu resesi dulu biar turun
2022-10-15 21:19:15+00:00,impersino,0,Twitter for Android,Kalau sekarang aja resesi nanti 2023 tinggal nunggu mati kali ya https://t.co/QSVX03WnKW
2022-10-15 21:17:17+00:00,bobataro12k,1,Twitter for Android,"keknya waktu itu ga sadar dengan resesi, tp emg ekonomi kami pernah buruk bgt sih di 2020 sampe ortu berantem hampir tiap hari bahkan dgn penyebab2 sepele. waktu itu aku satu2nya anak yg dirumah, 2 kakakku merantau (kuliah dan kerja). pendapatan papa sehari bisa cm 5k, beneran https://t.co/Dimap06zOP"
2022-10-15 21:16:10+00:00,penyairdikit,0,Twitter for iPhone,"@alzrgnny Ya gpp yuk, akibat resesi ada kalanya pengaruhi hal privat loh"
2022-10-15 21:01:23+00:00,inewsbekasi,1,Twitter for Android,"Hadapi Resesi Ekonomi Global 2023, Yuk Siapkan Tiga Rencana Ini dari Sekarang
 https://t.co/iv6LxZnR7p"
2022-10-15 20:52:18+00:00,AmandaUsni,0,Twitter for iPad,sumpah trend if we never try soal bisnis / kerja / kulia dll itu tu berhasil bgt ngusir fear mongering resesi
2022-10-15 20:46:44+00:00,SINDOnews,1,SINDOnews,"Hadapi Potensi Resesi Gelap di 2023, Sandiaga Uno: Kuatkan UMKM dan Kolaborasi

 #Sindonews #BukanBeritaBiasa .https://t.co/aWSYJpYsvf"
2022-10-15 20:45:07+00:00,yaudahdeeeh,0,Twitter for Android,@convomf Resesi.
2022-10-15 20:34:13+00:00,taco_marni,0,Twitter Web App,"@Jckoono1 @UntheeUnti Lu kalo mo percaya suatu isu mbok ya dipikir dulu masuk logika nggak. Isu recehan digoreng mulu. Bingung gue. Msh bnyk hal laen yg msti dipikirin jok. Diluar negeri lg pd resesi jok, bahas lah itu. Lbh bermanfaat. Thn dpn diprediksi ekonomi global drop. Ayolah bahas yg bermutu.."
2022-10-15 20:30:09+00:00,andiaguzt,0,Twitter for Android,@jek___ Bedanya perjuangan untuk huruf P yg kurang dari kata resesi.
2022-10-15 20:13:24+00:00,yudayuniarwan77,0,Twitter for Android,"Terima kasih atas 3 tahunnya di Trijaya Cell,semoga kedepan nya toko lebih rame diera negera sedang mau resesi haha..

Berani untuk keluar dari zona nyaman adalah suatu prestasi sendiri bagi diri ini untuk melangkah lebih maju kedepan

See you again TJC https://t.co/5r4yiiUR6N"
2022-10-15 20:04:36+00:00,convomfs,6,"Hey, jangan telat mam ya🍽😠","💭 gara-gara konten resesi, temen gue jadi suka panik sendiri. tiap gue beli sesuatu pasti dikomen ntar taun depan gini gitu, ini gue di kamar aja kali ya sampe taun depan 🙂"
2022-10-15 19:59:21+00:00,nagapanass,0,Twitter for Android,"Udah seminggu lebih terpapar konten2 ttg resesi ekonomi. Belum selesai kencengin iket pinggang, ada koh raymond ngomong di channel paquito close the door ttg '2023 gelap'. Makin berat pala belakang."
2022-10-15 19:57:16+00:00,alasleuser,0,Twitter Web App,"Infrastruktur dari htuang percuma, harunsya dari nilai surplus, itu prinsip teknik idntsri dan macro ekonomi, Oh, ya Maklum Bapak orang berlatar belakang Kehutanan , tidak tahu menahu tentang itu, main hajar terus, tapi yang rugi kita dan bangsa Indoensia, gimana tuh? mana resesi https://t.co/87XAgMv2h7"
2022-10-15 19:56:18+00:00,YERIxSAW,0,Twitter for iPhone,@JENOjaga klo beli yang ori nnti gue ga mendukung umkm para ba app prem dong… mana 2023 mau resesi 😔✊
2022-10-15 19:55:00+00:00,ape_mezzala,0,Twitter Web App,"Resasi resesi resasi resesi!! 
dahlah.. biar itu yg ngurus pemerintah pusat, bos perus/startup gede. 
Pikirin aja gmn caranya bisa tetap survive. Yg umkm gmn biar jualan lebih laku lagi. yg pegawai gmn biar atasanmu gk tba2 phk, upgrade ketrampilan/skill biar lebih bernilai"
2022-10-15 19:51:55+00:00,jumpmate_,0,Twitter for iPhone,@BigAlphaID Aku ga takut resesi. Aku cuma takut gagal pdkt trus mulai dari awal lg :(
2022-10-15 19:51:44+00:00,eevoxx,0,Twitter for Android,"@convomf resesi chancenya kecil di indo, tapi prepare aja cari aman"
2022-10-15 19:36:18+00:00,mingswons,0,Twitter for iPhone,"isi catetannya :
1. mobil pajero umpetin dulu sampe resesi kelar
2. harley davidson taro digarasi belakang
3. kaos balenciaga pindah rak belakang
4. beli kaos polos di syopi aja https://t.co/QzS4gGKtMO"
2022-10-15 19:35:32+00:00,Haudenosaunee_,0,Twitter Web App,"dan slow but sure saham meta lambat laun turun pelan-pelan sampe 100 poin lagi, yaitu 126,7 per minggu ini.

but why? Apakah karena russo-ukrainian war, inflasi usd, gbp, eur, dll, resesi, interest rate, bla bla bla.

iya berdampak, tapi bukan itu main problemnya."
2022-10-15 19:34:53+00:00,audehahaha,0,Twitter for iPhone,"baca dan denger tntng resesi ini gue jd takut gabisa survive, amit2 deh tp kepikiran bgt anj."
2022-10-15 19:30:56+00:00,ge_mahendra2022,0,Twitter for Android,"Salah satu rencana besar pada akhir tahun ini ialah menarik saham atau modal dan banyak membaca berita tentang issue nasional unto international 2022 ke 2023.

Dan hanya ada dua pilihan, transisi ini akan menghasilkan prestasi atau sebaliknya, yaitu resesi ?"
2022-10-15 19:30:52+00:00,rmsd16,0,Twitter for iPhone,"“emg selama ini hidupmu gak sulit?”
… yes but it still can get worse tho 😭

“emg selama ini penghasilanmu banyak?”
ta.. tapi resesi akan lebih berdampak ke menengah ke bawah mas https://t.co/Fn5s1MqxdN"
2022-10-15 19:26:55+00:00,ikbalsyahputra,0,Twitter for iPhone,Ibu ibu lebih panik lesti rujuk daripada resesi 2023...
2022-10-15 19:05:03+00:00,niarasya,0,Twitter for Android,"Aku harus ditakut2in resesi dulu biar ga beli lipstick baru, padahal mah karena yang lama masih banyaaaaak.
Gatau kalo nanti malah the lipstick effect pas resesi.

Halah eblas."
2022-10-15 19:04:53+00:00,alzrgnny,0,Twitter for iPhone,"sbg org bodoh ttg ilmu perekonomian aku pgn bgt diskusi ttg resesi deh🥲🥲
tp yg mau aku diskusiin jg hal private bgt gmn y🥲"
2022-10-15 19:04:10+00:00,matterwellons,1,Twitter for Android,jam 2 baca soal resesi 👌👌👌 https://t.co/5Vnzo5ilW3
2022-10-15 18:55:52+00:00,Niceonesrad,0,Twitter Web App,"@isntpudin Calon-calon sangkuterssss ini main di second liner wkwkwk

Iya di bluechip risknya kecil apalagi isu resesi. Tapi tetep aja 2-3 bulan kedepan merah teros

Mending cutloss, terus dpt cash, serok bulan depannya wkwk"
2022-10-15 18:48:32+00:00,chancolatte,0,Twitter for iPhone,pusing gasih mikir tahun depan resesi tapi konser black pink dibulan yang sama kaya tds 😔
2022-10-15 18:46:17+00:00,Boltcrank6,0,Twitter for Android,"@Puspen_PKI Yg lawak sih sbnrnya situ
Kondisi dunia lg terancam resesi, klo invenstasi di indonesia gk jelas kondisinya ya 98 bisa terulang. Apakah situ udh siap lahir batin?"
2022-10-15 18:41:59+00:00,daffaprtma_,0,Twitter for Android,padahal blm waktunya resesi tp dompet udh tiris aja
2022-10-15 18:40:47+00:00,jayimahs,0,Twitter for iPhone,Kalo beneran resesi misal aku jualan piscok untuk membantu suami laku gak y?
2022-10-15 18:32:34+00:00,Cinnamonvale,0,Twitter for Android,ih baby cough bahaya ya katanya. Pdhal dlu kalo batuk minum itu beres😂 alhamdulillah ga kenapa2 😲😲😲 tp kayanya consumer goods skrg pada ngawur deh bahannya. Gara2 resesi 😣😔
2022-10-15 18:32:31+00:00,yeonkaisenpie,1,Twitter for Android,"Resesi 2023 Indonesia katanya cuma kena dampak dikit, kalau mau bantu meringankan malah jangan ditahan-tahan uangnya, tetap harus di spend supaya ga turun daya beli dengan cara BELI TIKET KONSER KPOP HAHAHAHAHAHAHAHAYU TXT GW TUNGGUIN TAHUN DEPAN 😇😇🤑🤡 https://t.co/4BCr9mKNNl"
2022-10-15 18:29:37+00:00,indrytie,0,Twitter for Android,"Internet itu memudahkan tapi juga menakutkan, setelah ditakut2i covid sekarang ditakut-takuti resesi 2023 sama berita, tanpa resesi juga udah pusing mikirin hidup, untungnya idup didesa, ibarat kata nggak punya uang masih bisa metik daun singkong / daun pepaya buat dijadiin sayur"
2022-10-15 18:26:30+00:00,rosagenes_,0,Twitter for iPhone,@dusbty 2023 resesi gak ada apa-apanya kalau kita terus ngekritik saiki
2022-10-15 18:21:21+00:00,helmi_po,5,Twitter for iPhone,"stelah banyakny disparitas tntang pmbahasan resesi akhirnya ada tulisan yg cukup mencerahkan, respect pak chatib https://t.co/WL5jO6JOY9"
2022-10-15 18:19:36+00:00,superindu,0,Twitter for iPhone,@BigAlphaID Si paling resesi
2022-10-15 18:13:20+00:00,cocolunch,0,Twitter for Android,"Wkwk ini lumayan nenangin sih. 

Cuma yg dari 2020 kena dampak ekonomi keperosok gegara covid tuh ngerasa 2022 ini much better, trus denger kabar resesi kaya ditarik ulur sama harapan. 

Ya hidup emg roda yg berjalan sih. https://t.co/Zsk4k4FLy2"
2022-10-15 18:07:37+00:00,anneclairs,0,Twitter for Android,"soal resesi 23 ntar dulu, ini idol gw lagi ngomong aslmlkm apa kabareu aku cinta kaliyan."
2022-10-15 18:01:15+00:00,xUTARYAROx,0,Twitter for iPhone,"di 2023 bakal aya naon nya? resesi kituu? kudu rada save money iyeu mah😬😬😬 

#stopbalanja"
2022-10-15 18:00:23+00:00,cikaaas,0,Twitter for iPhone,@dfleurkoo Si resesi emang ini menghantui dit
2022-10-15 17:59:30+00:00,GunawanLee737,0,Twitter for Android,@Tita83079013 Heran dengan Bapaknya... gak senang lihat Indonesia selamat dari resesi dunia. Dendam apalah sama Presiden sekarang. Waktu jumpa mau cium tangannya juga ditarik.
2022-10-15 17:55:53+00:00,itsmeSarKess,0,Twitter for Android,Udah nahan2 nabung krn mau resesi.. malah beli sepatu. Sarrr sarr !
2022-10-15 17:55:21+00:00,SpHermanto1,0,Twitter for Android,"Ada Ancaman Resesi, Ini Investasi yang Bisa Kasih Cuan Gede https://t.co/CubcByjYnk"
2022-10-15 17:53:01+00:00,crispeee_bacon,0,Twitter Web App,@bilamenjadiasu start now untuk anak lu nanti. pastinya akan ada resesi lagi di masa depan.
2022-10-15 17:50:21+00:00,arieframadhanm,0,Twitter for iPhone,Kl 2023 ga resesi mending 2023 resepsi aja gmn? https://t.co/9Hfmbq0HGv
2022-10-15 17:46:10+00:00,monetiized,0,Twitter for Android,GAMPANG BANGET RUMAH CASH NOH TAUN DEPAN RESESI EKONOMI
2022-10-15 17:43:59+00:00,BigWinGfry,0,Twitter for Android,Moga dapet duit buat resesi tahun depan. Butuh bet
2022-10-15 17:43:32+00:00,Gifaryarfii,0,Twitter for Android,"2023 bakal resesi, udah harus siap siap dari sekarang.

(alias: KURANG KURANGIN PARTY GOBLOOKK, KURANG KURANGIN NONTON KONSER, KURANG KURANGIN NGELUARIN DUIT BUAT HAL YG GK PENTING, -."
2022-10-15 17:34:02+00:00,Luqmanulh31,0,Twitter for Android,@UNSfess_ Resesi 2023 itu apa? Saya ketinggalan banyak berita :(
2022-10-15 17:31:08+00:00,kompasiana,0,dlvr.it,"Budidaya Maggot, Bisnis Seksi Atasi Pandemi dan Resesi https://t.co/i9aw8q2Qum"
2022-10-15 17:25:29+00:00,ucxunt,0,Twitter Web App,"@BigAlphaID Isi Resesi boleh buat tindakan hemat.. Tapi lebih bagus lagi menambahkan penghasilan, tetap bersemangat mencari tambahan ^^"
2022-10-15 17:25:14+00:00,UNSfess_,4,uns menfess,-11fess diskusi yuk yg lagi rame. Bahas resesi 2023. Menurut kalian gimana? Aku sedikit takut gegara itu. Mikir lagi mau lanjut kuliah tp sayang mending tabungannya buat inves tp kokk perlu lanjut juga. Semengerikan itu ga menurut kalian soal resesi 2023? :(
2022-10-15 17:25:12+00:00,matchalahnih,0,Twitter for Android,Bener2 resesi kalo gini mah🙏🏻 https://t.co/TIsftXp4jX
2022-10-15 17:25:11+00:00,agungekaputraa,0,Twitter for Android,"Nah yang heran krisis 2023 tuh kek momok bgt, pdhal gak ada yg bisa pastiin. Memastikan resesi itu ya pada saat mau deket2 kuartalnya, gk ada yg bisa prediksi. Malah gue tuh mikirnya balikannya. https://t.co/GGkrrBhybP"
2022-10-15 17:22:16+00:00,baeskiz,0,Twitter for Android,"Iya bener. Terlalu di keras kerasin perkara resesi ini, istilahnya pas covid juga parah tp bisa dilewatin kok. 

Baca baca berita lebih bukan bagian jeleknya doang. Msh ada covid aja perekonomian kita lebih tinggi dari china sama amerika. Sri mulyani susah2 mempertahankan https://t.co/8W93DLgNfx"
2022-10-15 17:21:27+00:00,majordisasterrr,0,Twitter for iPhone,"apa ya gue ga punya alasan untuk menetap lebih lama di sini
- cost more (gue nabungnya jd lebih dikit)
- bentar lagi resesi
- gue expect bisa punya/ ketemu banyak temen tp kenyataannya kagak wkwkwk
- biaya perawatan gigi di sini lebih mahal"
2022-10-15 17:19:23+00:00,susiwhy_,1,Twitter for Android,pasti mereka ga mikirin resesi 2023 :( https://t.co/op2ugCa8k4
2022-10-15 17:18:58+00:00,abnovaal,0,Twitter for Android,"@nutrisari_xxx @convomf iku tulisane ""resepsi besar2an"" geng udu resesi."
2022-10-15 17:18:19+00:00,eng_mine,0,Twitter for Android,@detikcom Ini ngapa berita ngga mutu mulu si yg diangkat??? Besok resesi ekonomi woy
2022-10-15 17:17:46+00:00,annisabellans,1,Twitter for iPhone,@dayatpiliang lagi khawatir resesi tapi blom punya apaa2 wkwkwk 😭😭😭
2022-10-15 17:16:27+00:00,just_ariyanto,0,Twitter for Android,"@psi_id Maaf sis &amp; bro, isu toleransi udah gak laku, yg sekarang laku mungkin isu ttng ekonomi pasca pandemi dan ancaman resesi"
2022-10-15 17:16:11+00:00,hernowosky,0,Twitter for Android,@BigAlphaID @catuaries resesi + stabilitas politik = ...
2022-10-15 17:15:33+00:00,llizafitriani,0,Twitter for Android,"banyak godaan pengeluaran ditengah badai issue resesi ekonomi. yang mau konser, yang mau solo 🥲 siapa yang bilang money cant buy us happiness sini maju"
2022-10-15 17:13:21+00:00,manusialabilll,0,Twitter for Android,@jek___ Hahahah aslii dari kapan juga udh resesi idup aing mah
2022-10-15 17:13:04+00:00,aminfarhanaja,0,Twitter for Android,"Resesi

https://t.co/RzE9C9BiBk"
2022-10-15 17:08:10+00:00,wahyuvicko,0,Twitter Web App,"Pasar diesel dunia menunjukkan tanda2 kekacauan,dan itu merusak ekonomi global dgn serangan baru tekanan inflasi.

Indonesia akan terbebas dari resesi JIKA harga Oil &amp; gas stabil. RI terselamatkan karena adanya coal, tetapi tdk dgn gas dan oil #energy

https://t.co/t63UFnMu5e"
2022-10-15 17:06:06+00:00,siodin,0,Twitter for iPhone,sumpah trend if we never try soal bisnis/kerja/kulia dll itu tu berhasil bgt ngusir fear mongering resesi
2022-10-15 17:03:59+00:00,dotaecultured,0,Twitter for Android,@outofthe_bleu Semoga treasure datang ke indo soon yaa biar sebelum resesi 2023😃✊✊✊
2022-10-15 17:03:40+00:00,coucouhaa_,0,Twitter for Android,"Ini katanya resesi tahun 2023 , terus kenapa gua udah resesi dari sekarang anjirrrr"
