Date,Tweets
2022-10-21 22:04:19+00:00,"Serba-serbi MMC
#IslamKaffah
IMF memproyeksi ekonomi global akan gelap pada tahun 2023. Mulai dari resesi, COVID-19, imbas inv4si Rusi4 ke Ukr4ina, dan juga perubahan iklim menjadi sebabnya. Mampukah Sistem Ekonomi Kapitalisme mengatasinya? 
https://t.co/Gl6IoD6A8P"
2022-10-21 21:58:15+00:00,@HelmiFelis_ Sy lebih setuju proyek IKN ditunda dulu di tengah isu kemungkinan buruk resesi dan maaih rapuhnya fundamental ekonomi kita (salah 1 sumber devisa dr Bond/Utang)
2022-10-21 21:54:42+00:00,"Outlook Harian : #Oil naik karena harapan permintaan minyak dari China melebihi kekhawatiran resesi #USD melemah terhadap yen, Bank of Japan di curigai melakukan intervensi untuk menghentikan penurunan mata uangnya https://t.co/rBulSp6sPE https://t.co/u2O2drPcRV"
2022-10-21 21:54:39+00:00,"@alisyarief Mhn pertanyaanya di rubah Prof...
mjd...
Apakah ekonomi kt sdh masuk resesi...????
Ancur dah...
😁😁😁😁✌"
2022-10-21 21:52:15+00:00,Akankah Ekonomi Kita Ikut Terseret Resesi? https://t.co/29KQAhXBWq
2022-10-21 21:49:53+00:00,"@detikcom Sudahlah orang2 kek gini mending dipenjara aja. 

Hidup sudah sulit, apa2 naik, BBM Naik, Resesi, dll. 

Dengan memusnahkan orang seperti ini dari cari sensasi, maka sudah membuat tensi darah agak sedikit menurun..."
2022-10-21 21:48:23+00:00,"Yup, justru resesi2 global lainnya dulu itu tidak terlalu berdampak di Indonesia ya karena Indonesia surga UMKM. Jadi yg tebar fear soal resesi dan bikin takut pelaku UMKM sampai ga jadi bikin usaha itulah yg sebenernya memicu resesi beneran terjadi 😄
https://t.co/hRKtso1MUj"
2022-10-21 21:42:12+00:00,Katanya mau resesi tapi pada pre order ipun 14
2022-10-21 21:36:52+00:00,"@TxtdariHI Dan sampe skrg amerika dkk masih terus framing turki resesi/inflasi sampe berbuih mulutnya mambu trasi 😂
Turki dgn smua produk lokalnya melihat dollar be like: https://t.co/Zkc7tE7PmF"
2022-10-21 21:35:48+00:00,Di Negara UMKM Resesi 2023 itu cuma mimpi… bangun tidur dan abaikan saja 😎
2022-10-21 21:33:48+00:00,"@fl0werbe4n_ Mending uangnya disimpan, persiapan tahun depan mau resesi"
2022-10-21 21:32:29+00:00,"@kartarahardja nggak ada yg resesi,,,cuman alasan cebong aja biar nutupin kegagalan kelola negara"
2022-10-21 21:31:57+00:00,"@HelmiFelis_ Mending uangnya disimpan, persiapan tahun depan resesi"
2022-10-21 21:29:02+00:00,"Rupiah melemah di 15.600
Selamat datang resesi"
2022-10-21 20:51:22+00:00,"Kita harus puas dan terpuaskan , lihat pembangunan yg dilakukan P Jokowi . dan kita terselamatkan dari wabah covid dan resesi dan paling penting Jokowi gak korup ."
2022-10-21 20:49:50+00:00,Fak resesi https://t.co/NrkfcNNnhZ
2022-10-21 20:47:19+00:00,"Elu itu tahu apa tentang kerja si planga-plongo? Lu tahu Badan Pangan Nasional? Lu ngerti soal resesi yg mendunia kan? Lu taukan Negara2 yg antri ke IMF, tapi Lu bisa nya cuma omong bullshit dan gak lebih dari itu 🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🤮🤮 https://t.co/a4CFEQfFA2"
2022-10-21 20:16:35+00:00,"@ayrasha5 @dianaguspurwono @sbyfess aku takut ga ngalami resesi malahan, soalna gapuna pasangan."
2022-10-21 20:10:43+00:00,"Heran deh, pada seneng banget ngomongin resesi kayak yg pada sadar aja kalo lagi kena resesi. Udah tau itu cuma bisnis influencer biar jualan kelasnya laku dan jadiin u semua takut yekan. 😅 https://t.co/3HXi03Hkbb"
2022-10-21 20:09:49+00:00,"The replies and qrts...
Orang2 pada sensitif karena berita mau resesi apa ya. It's just a common trolling tweet? Ga bakal bikin bangkrut juga, wong katanya ada pasarnya sendiri2 kan?"
2022-10-21 20:09:10+00:00,"@OposisiCerdas Dasar bodoh, niat ubah kawasan monas itu agar rakyat kecil bisa menghasilkan uang dari situ.

Salah satu obat resesi ekonomi adalah mengusahakan tempat usaha yg layak bagi rakyat sebanyak mungkin.

Sampai disini paham doh?"
2022-10-21 20:07:15+00:00,"yg kayak gini yg memanjang rantai tingkat sosial rentan menengah. gak siap finansial mau nikah, akhirnya kalo dunia resesi, ekonomi kejepit, gak bisa fullfill hak anak, anaknya diajak susah bareng hasil dr ketidakbijaksanaan ortu. buset maksimal.
https://t.co/ramfkVmK2Y"
2022-10-21 19:47:53+00:00,@detikcom Isu covid naik lagi belum isu resesi iso2 modar kabeh iki bro 🤣🤣🤣🤣
2022-10-21 19:42:53+00:00,"@cnbcindonesia @ajipaf Opung sj aware dg badai resesi, gak ada media yg berani bilang dia menebar horor resesi😃 https://t.co/Qc8mkeD6CF"
2022-10-21 19:39:57+00:00,@iwabima @mardigu024 Thn 1998 dan 2008 juga resesi ngga ada yg bilang kaya gini ya. Eh thn 1998 situ udah lahir blom ?
2022-10-21 19:39:41+00:00,"He is the MAN 🇮🇩

RAYMOND CHIN PENYEBAR HOAX RESESI ATAU EDUKATOR? ISO-LATE SHOW GRACE TAH... https://t.co/yK2K53AKac lewat @YouTube"
2022-10-21 19:27:37+00:00,"Banyak. Kadang ngebahas soal resesi, anime. Random"
2022-10-21 19:18:15+00:00,@irefortiter lagi resesi global tolong jangan mempersulit kehidupan rakyat kecil
2022-10-21 19:14:08+00:00,"Takut resesi 23, mau ìnvest ke vinyl ngaruh ga ya"
2022-10-21 19:07:54+00:00,"Jadi menurut gue nggak ada yang sepenuhnya salah terkait info yang gue dapet dari tiga video tadi. Ngasih awareness itu bagus dan preparing for the worst case juga nggak salah, tapi kita juga mesti liat seberapa besar kemungkinan kita bakal kena resesi biar nggak salah langkah."
2022-10-21 19:06:37+00:00,"@mardigu024 Kawinlah sgn wanita muda lbh dari 2,  kalo resesi mereka dikaryakan"
2022-10-21 19:02:40+00:00,@sukacoklad persiapan resesi dari sekarang 😂
2022-10-21 19:01:15+00:00,@mardigu024 Kenapa kok sekarang dah mikir pemilahan presiden kalau tau tahun besuk resesi ekonomi
2022-10-21 18:57:55+00:00,Hadapi Resesi Global Pemerintah Harus Prioritaskan UMKM - Basudewa News https://t.co/jKYRBeSnGW
2022-10-21 18:49:28+00:00,"@wisono_ @Faris_vanrese11 @amiami167w @jayapuraupdate @PSSI Boikot² justru gk cuma PSSI yg rugi tapi negara juga
,Jgn heran kalo bahan kebutuhan naik lagi tahun Depan apa lagi ada Resesi ekonomi beh cukup liat aja paling yg di salahin pemerintah lgi wakanda²"
2022-10-21 18:46:38+00:00,"@Bona_cikiciu @gandaallubab rodo mobat mabit bos..
nyepakno resesi mene.."
2022-10-21 18:37:58+00:00,"@tanyarlfes naek turun sih soalnya di saham, skrng lagi turun grgr isu resesi sm perang rusia-ukraina blm kelar banget"
2022-10-21 18:27:48+00:00,"Bisa gue bilang yang ini 50:50. Yang gue tangkep dari itu video, kemungkinan Indonesia kena resesi.. iya, tapi dampaknya nggak sebesar negara lain. Di indo harga kebutuhan pokok emang naik, harga bensin emang naik, tapi daya beli masyarakat so far masih bagus."
2022-10-21 18:27:45+00:00,@detikcom Pantesan 2023 bakalan ada RESESI. Ternyata kejadian kayak gini penyebabnya. Blm beres ya bisnisnya
2022-10-21 18:16:11+00:00,asik banget tadi nongki bersama teman teman membahas resesi 2023 👍🏽
2022-10-21 18:15:24+00:00,"Beliau bilang intinya dalam kondisi yang nggak menguntungkan bagi sebagian besar pihak, ada juga yang bisa liat celah kesempatan buat mereka. Misal, pas pandemi kemaren tahun 2020 kan sempet resesi tuh, ternyata ada company yang jaman segitu profitnya malah naik."
2022-10-21 18:00:50+00:00,pgn ke jogja rasanya tp bnrn aku ketar ketir resesi lah fellowship 2023 txt janji jg balik taun depan. Besar harapan rezeki mengalir...AAMIIN
2022-10-21 17:53:31+00:00,Melawan resesi part 1 https://t.co/rffO0eTJGg
2022-10-21 17:52:17+00:00,"@MurtadhaOne1 Sembrono itu dlm konteks pemilihan waktunya. Negara sedang dlm upaya penyelamatan ekonomi karena resesi dunia, koq malah ada partai barisan koalisi copras-capres ... itu yg Presiden Jokowi tidak suka."
2022-10-21 17:51:37+00:00,"Kunci Indonesia menghindari resesi~

*buatlah banyak janji kenaikan gaji"
2022-10-21 17:51:12+00:00,"Okay, I'll make a long ass thread about this. Pertama, gue nonton video yang ini https://t.co/0GeQRiSZwI
awal mula bahasan tentang resesi ini rame diomongin. Tanggapan orang-orang yang gue liat macem-macem, tapi intinya banyak yang bilang ini orang terlalu nakut-nakutin."
2022-10-21 17:49:46+00:00,"@detikcom Pantesan ada berita resesi 2023, ini ni biang keladinya covid lagi covid lagi trus lockdown lagi yaa bener resesi ekonomi...hadeh ancur ancur..udah kek selesai biar badan manusia sendiri yang membentengi dari penyakit, udah ngap pake masker...jantung perlu oksigen juga..."
2022-10-21 17:42:35+00:00,"di ig tuh isinya udah bikin ovt semua ya beritanya?
artis kawin cere lah, kdrt lah, bencana alam lah, resesi 2023 lah, ga sehat!
untung deactivated sih"
2022-10-21 17:36:21+00:00,"@detikcom Ah copid , ah resesi , opo ora oleh tenang sing urip iki 🤮"
2022-10-21 17:35:24+00:00,Resesi tapi stay relevant dari senior https://t.co/ucweJtdTZE
2022-10-21 17:26:03+00:00,perasaan tiap tahun ada berita resesi
2022-10-21 17:23:29+00:00,"Sial sekali beli paket @telkomsel, yang ternyata tidak sesuai dengan informasinya. @kompas konsumen selalu dirugikan. Lebih baik tahan uang saja lah kalau begini. Biar semakin cepat resesi, depresi, dan pemecatan karyawan-karyawan yang tahunya hanya makan gaji buta."
2022-10-21 17:22:44+00:00,"Kemarin didongengin tentang inflansi, resesi, efek perang ukraina-rusia,dsb. Sekarang, tentang dajjal 😶‍🌫️. Sungguh deeptalk yang bikin pening https://t.co/V3871JVEPZ"
2022-10-21 17:21:52+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/TT6DUPzqp6"
2022-10-21 17:21:46+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/WmWMfFfh8E"
2022-10-21 17:21:42+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/4Jq4e73myF"
2022-10-21 17:21:38+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/sRKSihHwzS"
2022-10-21 17:21:33+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/0Hi1JcsKKo"
2022-10-21 17:21:28+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/SFoBu31OKW"
2022-10-21 17:21:23+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/tGyciCvKDi"
2022-10-21 17:21:18+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/qt8fAwBjsF"
2022-10-21 17:21:18+00:00,@AnthonyBudiawan Jangan sampe APBN dikorbankan demi IKN... apalagi resesi 2023 di ambang pintu... 😷
2022-10-21 17:21:14+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/voGTq0y7nZ"
2022-10-21 17:21:09+00:00,"Inggris Kian Ngeri Dihantam Resesi, PSK Nambah Rakyat Makin Miskin PM Liz Mundur https://t.co/pUvcbL401S"
2022-10-21 17:18:30+00:00,"Sistem syariah ini dikenal resilien terhadap krisis keuangan atau resesi ekonomi karena bersih dari praktik yang kontra-produktif dengan pertumbuhan ekonomi yang adil dan merata seperti riba, gharar, maysir dan ihtikar. https://t.co/LTengO9Vna"
2022-10-21 17:18:28+00:00,"Transaksi demikian dilarang karena tidak alami, eksploitatif, dan tidak produktif untuk kegiatan ekonomi. Resesi terjadi karena praktik yang tidak adil ini. Riba adalah kanker bagi kesejahteraan masyarakat."
2022-10-21 17:13:18+00:00,"Biasanya dapat gratis Disney+ sebulan dari @byu_id tapi bulan ini gadapet, kamu gak kedampak resesi kan ? https://t.co/hA23yxYoCD"
2022-10-21 17:12:54+00:00,"Aduh mau resesi, smntra KPRku masih tinggi"
2022-10-21 17:08:15+00:00,"Sebenernya dipaksa bersyukur siee, karna mau resign pun nanti nyari lagi susahhh, blm lagi prediksi resesi thn dpn kmprt"
2022-10-21 17:05:26+00:00,"Negara lu sama Eropa yg resesi. Kalo Cina ikutan carut marut ekonominya, baru global ikutan resesi."
2022-10-21 17:05:18+00:00,@Ahaymeng @3v1anafs @asumsico secara tidak sadar thread diatas menggembar gemborkan resesi
2022-10-21 17:03:36+00:00,"Otak loe mang lokal 
Banyak negara eropa bakal tumbang krn resesi. Tolol kamu"
2022-10-21 17:02:14+00:00,"Founder dan CEO Tesla, Elon Musk, memprediksi resesi global bakal bertahan hingga 2024. https://t.co/aCXpAHwjJE"
2022-10-21 16:58:07+00:00,Gegara geger resesi bejo nasgor kasian lebih banyak bengongnya
2022-10-21 16:53:19+00:00,@dianaguspurwono @88flaskid @sbyfess Lagi resesi kak ini
2022-10-21 16:50:36+00:00,@Heraloebss @_BangFu Apakah si resesi ini bakal kya thn 2008an? Apa lebih parah?
2022-10-21 16:46:58+00:00,@Inclemeint 2023 resesi sob.
2022-10-21 16:42:45+00:00,bismilah masa depan anak anak terjamin dan anti resesi. #peternakansiboy
2022-10-21 16:39:47+00:00,kalau resesi mau pelihara tuyul pendapatannya berkurang juga nggak ya?
2022-10-21 16:38:23+00:00,"Resesi, mana pengangguran 😭"
2022-10-21 16:37:02+00:00,@hellsKENDALL Iya soalnya bentar lagi resesi dunia kan
2022-10-21 16:36:00+00:00,"Gini loh, resesi itu bukan virus yang dicaptain Tuhan, tapi yaa hehe gitu deh"
2022-10-21 16:35:17+00:00,"Coingrid Mantap coy 🤑🤑👍💵💵💵 permainan Anti Resesi.  loncat-loncat doang dapet cuan #Skyplay #Coingrid #skp #P2E  
Link game nya nih:  👇👇👇https://t.co/4Ku3ey7QuL https://t.co/8u3NAAIorK"
2022-10-21 16:35:14+00:00,@convomf resesi 2023
2022-10-21 16:33:27+00:00,@drraw_ resesi 2023 emang ngerii🙏
2022-10-21 16:33:08+00:00,Hadang Resesi dengan Kolaborasi Perbankan dan UMKM https://t.co/T6VFbbiQsZ
2022-10-21 16:32:02+00:00,"Apa iya gue harus nyusul pacar biar bisa nabung lebih banyak, tp resesi nya gimana aakah negara tsb ngalamin juga atau gimana kalo berangkatnya masih lama"
2022-10-21 16:29:10+00:00,@riya_mama persiapan resesi yaa
2022-10-21 16:28:18+00:00,Kenapa Kamu Gak Perlu Cemas Soal Isu Resesi 2023 https://t.co/yrjWveWbP2 via @YouTube
2022-10-21 16:26:56+00:00,Keknya ini fase terberat sih. Kaya udah ngerasain resesi duluan
2022-10-21 16:21:23+00:00,"@detikcom Resesi dan covid varian baru
Pembangunan ulang kanjuruhan dan pembangunan ikn
...2023 terlihat sangat............. menyeramkan"
2022-10-21 16:20:47+00:00,"@_ekokuntadhi Justru itu selama 2 priode golkar sdh sembrono hasil nya ky gini,2023 Resesi ekonomi,rakyat dibawah sdh ketar ketir.kecuali buzeRp krn mrk sdh dpt gaji smp akherat"
2022-10-21 16:20:21+00:00,"@azrufaidah “mohon maaf tahun ini gak ada bonus, untuk persiapan resesi🙏🏻”"
2022-10-21 16:19:25+00:00,@tanyakanrl sekalian baca ya semua yg ketakutan sm resesi gegara konten2 kreator yg sosoan nakutin:(
2022-10-21 16:19:10+00:00,"Heboh Resesi atau Mereka Gagal Paham Saja? 👉 - Prof. Rhenald Kasali. Terimakasih insightnya 🙏, jadi lebih cermat memilih konten yang lebih bermakna dan cerdas... #RumahPerubahan
https://t.co/OEUxaILBBv"
2022-10-21 16:17:51+00:00,@detikcom Ditakut2i resesi 2023 terus pandemi?? Hmmm jd jangan2 yg dibilang kontrasepsi tu bener???
2022-10-21 16:16:45+00:00,@fayruzfayqa @yusuf_dumdum Cuma kadrun yg takut resesi....!!!
2022-10-21 16:16:44+00:00,@convomf resesi
2022-10-21 16:09:34+00:00,@tanyarlfes nggak banyak sih tapi kalopun terjadi resesi tabungan masih cukup untuk hidup 2 hari
2022-10-21 16:07:12+00:00,"@tulangkambing1 @sbyfess Iya resesi jujur aja bikin takutt, mana kemarin bbm naik juga bikin barang susah laku 🥲. Makaasiii semangatnyaa, aku jualan merchandise anime gituu"
2022-10-21 16:05:27+00:00,"[SALAH] Video “Ini situasi terkini di AS negara super power yang menderita, akibat adanya resesi yang melanda dunia.” – #hoax #viral https://t.co/w0zIy9gofm"
2022-10-21 16:05:12+00:00,Persiapan resesi https://t.co/nVTlrMqI76
2022-10-21 16:05:04+00:00,Aku rasa ini idol full force Q4 2022 soalnya 2023 resesi
2022-10-21 16:03:48+00:00,manis bgt gmn ya diblng keluarga nabung aja mau resesi tp mana bs nolak ktemu ni org lg😔🫶🏻 https://t.co/P5q6pryg0m
2022-10-21 16:03:14+00:00,"@Askrlfess ya kan abisini resesi global, lowongan ya tutup broo"
2022-10-21 16:00:53+00:00,@cursedkidd @detikcom bahas resesi 2023 wil
2022-10-21 15:58:50+00:00,"Apakah orang radikal itu yang menjadi bandar sabu dan judi?

Apakah orang radikal itu yang menyebabkan rupiah terpuruk?

Apakah orang radikal itu yang menyebabkan Indonesia terancam resesi?"
2022-10-21 15:56:07+00:00,Pemerintah sudah menyiapkan jurus untuk menghadapi resesi 2023. https://t.co/BK20FqOzeY
2022-10-21 15:54:18+00:00,"Pebisnis E-Book, seminar-seminar fear mongering, influencer digital yang hanya mengikuti tren barat, menjual kata resesi untuk berbisnis. Resesi adalah bisnis bagi sebagian orang.

Karena penyakitnya masih digemari banyak orang; riba."
2022-10-21 15:50:57+00:00,"Tidak usah takut 2023. Orientasi para kapitalis; pebisnis, konsultan, menjual kata resesi karena masih bergelut dengan riba. Begitu massifnya propaganda dan pebisnis kepanikan.

Simpan aset dengan logam mulia. Teks akhir zaman berseru berulang."
2022-10-21 15:50:35+00:00,"resesa resesi apaan selow aje, dunia ini cuma sepele okeh lol"
2022-10-21 15:49:59+00:00,"Warning! Cipratan Efek Resesi ke Pembiayaan Infrastruktur di Indonesia

 #Sindonews #BukanBeritaBiasa .https://t.co/6zB0mBdcJw"
2022-10-21 15:49:56+00:00,@CNNIndonesia Klo resesi nti dibully. Ga resesi pun dibilanf gini. Susah klo kdrun ditny🤣🤣
2022-10-21 15:49:45+00:00,"TERLALU SIBUK NGURUSIN RADIKAL - RADIKUL - RADEKOL

Akibatnya:
➡️Utang Meningkat Ribuan Triliun
➡️Proyek Mangkrak Dimana-mana 
➡️Puluhan Juta Warga KenaPHK
➡️Korupsi Terjadi Disemua Lini
➡️Nilai Tukar Rupiah Terus Memburuk
➡️Indonesia Masuk Dalam Daftar 15 Negara Terancam Resesi"
2022-10-21 15:48:32+00:00,"Resesi abal-abal. Kepanikan yang membuat resesi. Kata resesi menjadi bisnis bagi sebagian orang dengan mengikuti kiblat para kapitalis. 

Riba adalah akar permasalahan."
2022-10-21 15:46:57+00:00,Resesi adalah bisnis.
2022-10-21 15:42:15+00:00,"@fika3fani Insya Allah di kita baik2 aja, udah biasa resesi jga sih... Mkanan hari2 hahahha"
2022-10-21 15:40:56+00:00,@ngenthought_ Kamu mau kah negara kita resesi
2022-10-21 15:38:02+00:00,Pemerintah sudah menyiapkan jurus untuk menghadapi resesi 2023.  https://t.co/zyLF8w5bvu
2022-10-21 15:37:54+00:00,"@wahyukuncarah @prastow Mikirnya harusnya gini, dengan kondisi sulit seperti ini saja (yang bapak tulis),akibat perang, covid, resesi masih bisa surplus, berarti pemerintah Masih bekerja dengan dengan baik. Semoga lebih baik lagi. 🤝🤝"
2022-10-21 15:37:47+00:00,Sandiaga Uno Harap Santri Digitalpreneur Buka Peluang Usaha Saat Resesi https://t.co/8h1P5usbms
2022-10-21 15:36:02+00:00,Pemerintah sudah menyiapkan jurus untuk menghadapi resesi 2023.  https://t.co/zyLF8vO8tu
2022-10-21 15:34:02+00:00,"Hadapi Resesi 2023, Ini Jurus yang Disiapkan Pemerintah https://t.co/Dv33pttXep"
2022-10-21 15:33:09+00:00,"Ancaman Resesi, Wamendag Optimistis Sektor Perdagangan jadi Backbone https://t.co/iq22HBnWF4"
2022-10-21 15:32:55+00:00,"Ngak usah takut resesi 2023. Tapi......

https://t.co/9rzrItC11s"
2022-10-21 15:27:05+00:00,"@NgatmoMbilung Ora wedi wacana tahun ngarep resesi, luih wedi nek di tinggal rabi"
2022-10-21 15:26:10+00:00,"@mardigu024 Pedagang kecil mah pikiranya laku untung dikit bisa buat makan besok, mau resesi tetep tidur d pasar buat jualan sayur malam hari. Berfikirlah kalem seperti mereka ga usah gila resesi ya d hadapi...."
2022-10-21 15:24:47+00:00,jadi taon depan resesi apa resepsi nihh
2022-10-21 15:23:38+00:00,"@worksfess masi tersimpan dengan rapi, siapa tau 2023 saat resesi bisa kebeli rumah 🙏🏿"
2022-10-21 15:21:33+00:00,"@detikcom Alasan utk resesi 2023 ,😜🤭🤭"
2022-10-21 15:21:01+00:00,Dilanjutkan dengan narasi global menghadapi resesi. Hingga siapapun tak bisa mengelak dari dampak perlambatan ekonomi
2022-10-21 15:15:45+00:00,"Hadapi Resesi 2023, Pemkab PPU Diminta Dukung UMKM https://t.co/uPwPTVYR2i"
2022-10-21 15:15:36+00:00,@artistektur antisipasi resesi tahun depan kah
2022-10-21 15:14:38+00:00,@jinriest Bijak dalam menyambut resesi 2023
